core,400_perlbench,401_bzip2,403_gcc,410_bwaves,416_gamess,429_mcf,433_milc,434_zeusmp,435_gromacs,436_cactusADM,437_leslie3d,444_namd,445_gobmk,447_dealII,450_soplex,454_calculix,456_hmmer,458_sjeng,459_GemsFDTD,462_libquantum,464_h264ref,465_tonto,470_lbm,471_omnetpp,473_astar,483_xalancbmk
21,9.23746842222e-11,8.93361013491e-11,9.04583053355e-11,1.16588738087e-10,1.09429881654e-10,4.97271949734e-10,1.64186883552e-10,1.44479422418e-10,1.34947455282e-10,1.8290396322e-10,1.96226421748e-10,7.4024149968e-11,8.8676993912e-11,9.98692674796e-11,1.71726367169e-10,1.3743986855e-10,8.78491594428e-11,8.60850934692e-11,2.33353832211e-10,1.80103774521e-10,1.00023019491e-10,1.12451640252e-10,1.72875435843e-10,7.48768095334e-11,9.51124052903e-11,1.07134292691e-10
22,1.78794709163e-10,1.80779903249e-10,1.72802836952e-10,1.98857847407e-10,1.98089913144e-10,7.81540081437e-10,2.69571953486e-10,2.3293002381e-10,2.32019789365e-10,3.2399900691e-10,3.30376652575e-10,1.47542654877e-10,1.68810687649e-10,1.89707698571e-10,2.93984795482e-10,2.15143794751e-10,1.91149275983e-10,1.60253031445e-10,3.85704355449e-10,3.12390268545e-10,2.13257000185e-10,2.0507648369e-10,2.85658360401e-10,1.30009546612e-10,1.88972215282e-10,1.92836801244e-10
23,1.47654059497e-10,1.46510081831e-10,1.87004836638e-10,1.84214387291e-10,2.23315682465e-10,9.22574956302e-10,2.65852484369e-10,2.67174536952e-10,2.41135569318e-10,2.95549471472e-10,3.74016244591e-10,1.64184218661e-10,1.57184399827e-10,1.61221985182e-10,2.90453549704e-10,2.16302291236e-10,1.4611723085e-10,1.40069074994e-10,4.45138605059e-10,3.15292822484e-10,1.67522234333e-10,1.79238545984e-10,2.76362420453e-10,1.47078082785e-10,1.85378286289e-10,1.7928606347e-10
24,1.48604898865e-10,1.43037003426e-10,1.32978344291e-10,1.5926047418e-10,1.62520565505e-10,6.13561882509e-10,2.11885003353e-10,1.94973407807e-10,1.8903030396e-10,2.56697059501e-10,2.71437241831e-10,1.17536805091e-10,1.35348004419e-10,1.57241952528e-10,2.30964093416e-10,1.71550930323e-10,1.85054815241e-10,1.2932363108e-10,3.25059420347e-10,2.35719699905e-10,1.76818540585e-10,1.64966622644e-10,2.26676544272e-10,1.06382713144e-10,1.49700199029e-10,1.57378363115e-10
25,1.50335676963e-10,1.4850447553e-10,1.37274153343e-10,1.66758398368e-10,1.69891758506e-10,6.49753665811e-10,2.23206872e-10,2.06323338474e-10,1.97156874748e-10,2.69511589808e-10,2.87545968395e-10,1.22314907622e-10,1.40342290482e-10,1.64021795975e-10,2.43492399821e-10,1.80346716208e-10,1.95634251384e-10,1.35544782295e-10,3.19892433825e-10,2.50866007567e-10,1.85280427447e-10,1.71759599953e-10,2.38575549361e-10,1.09656243821e-10,1.5653804492e-10,1.62253438396e-10
26,1.72497935221e-10,1.71720347126e-10,1.59615672599e-10,1.93768485866e-10,1.96356480995e-10,7.92547534314e-10,2.6308457423e-10,2.42446205434e-10,2.29046198928e-10,3.1285771514e-10,3.41142392388e-10,1.40888105619e-10,1.62715084628e-10,1.90088282638e-10,2.91854257548e-10,2.11127751356e-10,2.26927298598e-10,1.58993708891e-10,3.7739039152e-10,3.05083777115e-10,2.14222247086e-10,1.97986770239e-10,2.80950832957e-10,1.29045355793e-10,1.82337074245e-10,1.86223043391e-10
27,1.95413571636e-10,1.95964383792e-10,1.80916215111e-10,2.22064870805e-10,2.26007022223e-10,9.52096665153e-10,3.06387145407e-10,2.84296005934e-10,2.6492320635e-10,3.63521551623e-10,4.02548669025e-10,1.57341349541e-10,1.85610209558e-10,2.18644691236e-10,3.41096648714e-10,2.4486329448e-10,2.66180402649e-10,1.81647569828e-10,4.49671580217e-10,3.61482524802e-10,2.47224702481e-10,2.2704766759e-10,3.24297930562e-10,1.45416310394e-10,2.09557242016e-10,2.05446272651e-10
28,1.27462639852e-10,1.23972555418e-10,1.15307732629e-10,1.41031463251e-10,1.39545307584e-10,5.35685600473e-10,1.87914827321e-10,1.68711773769e-10,1.65672033459e-10,2.26303787492e-10,2.28348877468e-10,1.03078488667e-10,1.16260428785e-10,1.36665223039e-10,1.99741493866e-10,1.53700031061e-10,1.28829692262e-10,1.11005674423e-10,2.86247697528e-10,2.04895525357e-10,1.45513749081e-10,1.43854245833e-10,1.95201368617e-10,9.31340010837e-11,1.29037956561e-10,1.35474066948e-10
29,1.2919240392e-10,1.29442329069e-10,1.19468095368e-10,1.4853287722e-10,1.46362657585e-10,5.72491519441e-10,1.99245042892e-10,1.79845672686e-10,1.73606080988e-10,2.38797487652e-10,2.42739520787e-10,1.07843936454e-10,1.21143062176e-10,1.43324470791e-10,2.12228730226e-10,1.62476277308e-10,1.35220852482e-10,1.16871615194e-10,2.83827682003e-10,2.20043534019e-10,1.53162915231e-10,1.50464280916e-10,2.07068795326e-10,9.64836114063e-11,1.35671044329e-10,1.40189723677e-10
30,1.80524680801e-10,1.8424664548e-10,1.68522507269e-10,2.0365147317e-10,2.02350207667e-10,8.05654684944e-10,2.74329339516e-10,2.4914181383e-10,2.37679815294e-10,3.28752649261e-10,3.37921412293e-10,1.51791220163e-10,1.70746023396e-10,2.00731288686e-10,3.01226319184e-10,2.18947160098e-10,1.95125509083e-10,1.6502662876e-10,3.91994466869e-10,3.17884660152e-10,2.21665366731e-10,2.08467627439e-10,2.9127396652e-10,1.34296582091e-10,1.93320526389e-10,1.93637686457e-10
31,1.722919677e-10,1.76270787449e-10,1.61890323785e-10,2.0381199506e-10,1.99542656009e-10,8.74238268777e-10,2.82425084065e-10,2.5674243603e-10,2.39617469626e-10,3.31067407367e-10,3.49071505061e-10,1.42806879158e-10,1.65191286364e-10,1.96790944501e-10,3.09176813589e-10,2.26904029876e-10,1.84178525269e-10,1.61170819865e-10,4.13243969729e-10,3.30668726961e-10,2.10829358998e-10,2.04619293097e-10,2.92624052323e-10,1.31771772016e-10,1.87314289754e-10,1.82542167044e-10
32,9.52486703535e-11,9.01085658537e-11,8.7464714735e-11,1.16782008424e-10,1.09005585265e-10,4.87848362481e-10,1.6118364443e-10,1.42078149648e-10,1.34823432022e-10,1.79829182232e-10,1.91956793992e-10,7.61982502801e-11,8.88928145139e-11,1.00906131438e-10,1.69536977515e-10,1.34993076787e-10,8.72965192144e-11,8.70583366794e-11,2.46685767941e-10,1.74782770179e-10,9.89357175599e-11,1.1205840907e-10,1.6898048515e-10,7.76757127963e-11,9.52904345002e-11,1.06659392305e-10
33,9.67296175949e-11,9.55474141352e-11,9.16191240692e-11,1.24281529561e-10,1.1566902702e-10,5.23772771482e-10,1.72516440432e-10,1.52126595958e-10,1.42618647153e-10,1.92280254969e-10,2.05863488597e-10,8.09638065331e-11,9.37319289459e-11,1.06920930068e-10,1.81923420546e-10,1.43755687424e-10,9.32259288439e-11,9.28392181501e-11,2.45010012303e-10,1.89931045171e-10,1.06025015277e-10,1.18560900638e-10,1.80795630837e-10,8.09958296198e-11,1.0181790282e-10,1.11171669475e-10
34,1.81251372053e-10,1.86965983236e-10,1.71030838689e-10,2.06547069277e-10,2.04103004518e-10,8.07568214365e-10,2.77897167525e-10,2.40573905505e-10,2.39674268082e-10,3.33370310605e-10,3.40004855993e-10,1.54480150065e-10,1.72866175382e-10,1.96710411154e-10,3.04093993676e-10,2.21453294395e-10,1.96513995172e-10,1.66960396836e-10,3.97185232738e-10,3.22213461179e-10,2.19211846805e-10,2.10715601246e-10,2.93573131823e-10,1.35711279134e-10,1.95669880127e-10,1.94968752559e-10
35,1.3869341489e-10,1.42124796484e-10,1.33857997351e-10,1.79558111964e-10,1.68228685094e-10,8.21921805811e-10,2.55704026545e-10,2.2426024097e-10,2.07909285921e-10,2.84302229929e-10,3.11084131124e-10,1.15928946916e-10,1.37503601073e-10,1.56836169803e-10,2.78384547233e-10,2.0814100729e-10,1.40822615831e-10,1.36846796629e-10,3.74428944672e-10,3.00563978528e-10,1.61013422034e-10,1.72291259688e-10,2.66097988797e-10,1.16076029315e-10,1.52944966878e-10,1.53004360141e-10
